user_id,user_segment,registration_date,country,city,age_group,gender,preferred_language
1,New,2019-09-18,Brazil,São Paulo,45-54,M,Brazil
2,Regular,2019-04-01,Australia,Melbourne,35-44,M,Australia
3,Regular,2019-07-02,UK,Liverpool,55+,F,UK
4,Regular,2019-07-08,Japan,Osaka,35-44,F,Japan
5,New,2018-09-23,Germany,Cologne,35-44,F,Germany
6,New,2019-07-04,USA,Houston,25-34,M,English
7,At-Risk,2018-06-30,USA,New York,45-54,M,English
8,New,2019-07-31,USA,Houston,25-34,Other,English
9,Occasional,2018-08-15,Germany,Cologne,35-44,F,Germany
10,Regular,2019-05-08,USA,Phoenix,45-54,M,English
11,New,2019-08-28,UK,Liverpool,35-44,F,UK
12,Occasional,2019-10-23,Germany,Munich,18-24,F,Germany
13,Regular,2019-08-15,Canada,Toronto,55+,F,Canada
14,Occasional,2018-10-03,UK,London,45-54,F,UK
15,New,2019-07-09,UK,Manchester,35-44,M,UK
16,Regular,2019-01-10,Italy,Milan,35-44,M,Italy
17,Regular,2018-09-26,France,Paris,25-34,F,France
18,Occasional,2019-09-21,France,Paris,55+,F,France
19,New,2019-08-14,UK,Glasgow,45-54,M,UK
20,New,2018-05-30,Australia,Adelaide,45-54,M,Australia
21,Occasional,2019-09-19,Spain,Madrid,35-44,M,Spain
22,New,2019-04-29,Japan,Kyoto,55+,M,Japan
23,Regular,2019-08-27,Brazil,Fortaleza,25-34,M,Brazil
24,New,2019-10-23,Germany,Hamburg,45-54,M,Germany
25,At-Risk,2019-06-12,Canada,Montreal,25-34,F,Canada
26,Regular,2018-11-29,Spain,Valencia,25-34,M,Spain
27,Regular,2019-07-19,USA,New York,35-44,F,English
28,New,2018-11-20,France,Lyon,25-34,F,France
29,Occasional,2019-01-10,USA,New York,35-44,F,English
30,Occasional,2018-10-16,Australia,Sydney,25-34,F,Australia
31,Occasional,2019-10-13,UK,London,18-24,F,UK
32,Regular,2019-05-12,Australia,Brisbane,45-54,M,Australia
33,Occasional,2019-08-30,Australia,Perth,55+,M,Australia
34,Occasional,2018-05-28,Italy,Rome,45-54,M,Italy
35,Occasional,2019-05-31,France,Nice,25-34,F,France
36,Occasional,2019-08-24,Brazil,São Paulo,35-44,F,Brazil
37,Occasional,2019-10-13,USA,New York,25-34,M,English
38,Regular,2019-02-15,Germany,Munich,55+,F,Germany
39,Regular,2019-02-12,USA,Los Angeles,18-24,F,English
40,High-Value,2019-10-04,Canada,Toronto,25-34,Other,Canada
41,New,2018-04-30,Germany,Munich,25-34,F,Germany
42,At-Risk,2019-07-22,Japan,Kyoto,25-34,F,Japan
43,High-Value,2019-08-22,USA,Chicago,35-44,F,English
44,Regular,2019-04-18,USA,Houston,25-34,M,English
45,Regular,2019-09-11,USA,New York,35-44,M,English
46,Regular,2019-03-25,Germany,Hamburg,45-54,M,Germany
47,Occasional,2017-10-31,Spain,Bilbao,35-44,M,Spain
48,At-Risk,2017-11-26,USA,Los Angeles,35-44,F,English
49,New,2018-11-18,Japan,Kyoto,18-24,F,Japan
50,Regular,2019-09-25,Italy,Florence,45-54,M,Italy
51,Regular,2019-08-31,Spain,Bilbao,45-54,F,Spain
52,Regular,2019-06-26,Germany,Cologne,35-44,M,Germany
53,High-Value,2019-04-29,USA,Chicago,25-34,F,English
54,New,2019-03-30,Italy,Rome,45-54,F,Italy
55,New,2019-05-30,France,Nice,35-44,M,France
56,Regular,2019-10-21,Germany,Frankfurt,45-54,F,Germany
57,New,2019-04-23,Japan,Tokyo,25-34,F,Japan
58,Occasional,2019-10-06,UK,London,25-34,F,UK
59,Occasional,2019-03-03,Germany,Frankfurt,18-24,M,Germany
60,Regular,2019-02-05,Australia,Adelaide,25-34,Other,Australia
61,Occasional,2019-01-02,Spain,Madrid,25-34,F,Spain
62,Regular,2019-04-20,Australia,Perth,45-54,M,Australia
63,High-Value,2019-03-27,Australia,Adelaide,18-24,F,Australia
64,Regular,2019-10-15,USA,Chicago,35-44,M,English
65,High-Value,2018-05-02,Germany,Munich,25-34,F,Germany
66,Regular,2019-07-24,Italy,Rome,35-44,M,Italy
67,Regular,2019-06-01,Italy,Florence,55+,M,Italy
68,New,2019-07-16,USA,Chicago,55+,F,English
69,Regular,2019-01-13,Germany,Munich,55+,M,Germany
70,Occasional,2019-06-27,Canada,Ottawa,35-44,F,Canada
71,Occasional,2019-02-20,Germany,Berlin,25-34,M,Germany
72,Occasional,2019-09-10,Spain,Madrid,35-44,M,Spain
73,Occasional,2019-01-06,UK,Glasgow,45-54,M,UK
74,High-Value,2019-10-29,France,Paris,25-34,M,France
75,Regular,2019-01-07,Italy,Rome,25-34,F,Italy
76,New,2019-10-03,USA,New York,25-34,M,English
77,At-Risk,2019-10-05,Australia,Perth,45-54,M,Australia
78,Occasional,2019-10-28,France,Paris,35-44,M,France
79,Regular,2019-05-24,France,Toulouse,18-24,F,France
80,Occasional,2017-10-31,Australia,Perth,45-54,M,Australia
81,At-Risk,2019-10-20,Germany,Frankfurt,35-44,M,Germany
82,Regular,2019-01-09,France,Marseille,25-34,M,France
83,Regular,2019-02-20,USA,Los Angeles,45-54,F,English
84,High-Value,2019-09-26,Spain,Barcelona,45-54,M,Spain
85,High-Value,2019-08-13,France,Nice,18-24,M,France
86,Regular,2019-04-22,USA,Los Angeles,18-24,M,English
87,New,2019-09-06,UK,Birmingham,45-54,F,UK
88,Regular,2018-12-30,Brazil,Rio de Janeiro,25-34,F,Brazil
89,New,2018-10-27,Spain,Valencia,25-34,M,Spain
90,High-Value,2019-10-07,Italy,Florence,25-34,F,Italy
91,At-Risk,2017-10-31,USA,Phoenix,18-24,M,English
92,Occasional,2019-03-07,USA,Los Angeles,25-34,M,English
93,Regular,2019-08-18,Germany,Berlin,35-44,M,Germany
94,Regular,2019-05-21,UK,London,55+,F,UK
95,At-Risk,2019-05-30,Brazil,São Paulo,55+,F,Brazil
96,Regular,2019-08-14,Australia,Brisbane,25-34,F,Australia
97,Regular,2019-01-19,Canada,Toronto,25-34,M,Canada
98,Regular,2019-06-25,Brazil,São Paulo,18-24,M,Brazil
99,At-Risk,2019-10-12,Canada,Vancouver,45-54,M,Canada
100,New,2019-09-16,UK,London,25-34,F,UK
101,Occasional,2019-02-13,Spain,Seville,35-44,F,Spain
102,At-Risk,2019-08-16,UK,Birmingham,18-24,F,UK
103,New,2019-10-11,USA,Los Angeles,55+,M,English
104,High-Value,2019-06-18,Canada,Ottawa,25-34,F,Canada
105,Regular,2019-06-25,USA,Phoenix,25-34,F,English
106,Regular,2019-04-10,Germany,Berlin,25-34,M,Germany
107,Occasional,2019-04-16,Italy,Naples,25-34,F,Italy
108,New,2019-02-26,UK,Liverpool,35-44,M,UK
109,At-Risk,2019-10-21,Germany,Berlin,25-34,M,Germany
110,New,2019-06-30,USA,New York,35-44,M,English
111,Occasional,2019-05-24,France,Marseille,45-54,Other,France
112,Occasional,2019-10-06,France,Marseille,25-34,M,France
113,New,2019-02-01,Italy,Turin,35-44,M,Italy
114,New,2019-09-07,Japan,Tokyo,55+,M,Japan
115,New,2018-08-09,Canada,Montreal,25-34,F,Canada
116,Regular,2019-08-30,Canada,Calgary,25-34,M,Canada
117,Regular,2019-07-26,Canada,Vancouver,18-24,F,Canada
118,High-Value,2019-06-02,France,Lyon,45-54,F,France
119,Regular,2018-05-27,USA,New York,18-24,F,English
120,Regular,2018-05-01,USA,Phoenix,45-54,M,English
121,Occasional,2019-10-01,USA,Los Angeles,25-34,F,English
122,New,2019-10-10,Germany,Cologne,35-44,M,Germany
123,Occasional,2019-07-29,USA,Los Angeles,25-34,M,English
124,Occasional,2019-10-12,Spain,Seville,25-34,F,Spain
125,Regular,2019-08-27,USA,Houston,35-44,M,English
126,Regular,2019-09-12,Canada,Montreal,25-34,M,Canada
127,Regular,2019-07-21,UK,Birmingham,55+,F,UK
