user_id,user_segment,registration_date,country,city,age_group,gender,preferred_language
541312140,Occasional,2019-04-09,USA,Houston,55+,M,English
554748717,New,2017-11-09,UK,Birmingham,55+,F,UK
519107250,Occasional,2019-09-20,Spain,Bilbao,25-34,F,Spain
550050854,Occasional,2019-10-08,UK,Manchester,18-24,F,UK
535871217,Occasional,2019-08-25,Australia,Melbourne,25-34,M,Australia
512742880,High-Value,2019-09-07,USA,Los Angeles,55+,F,English
555447699,Occasional,2019-06-02,Australia,Adelaide,18-24,M,Australia
550978835,Occasional,2018-12-19,Germany,Munich,25-34,M,Germany
520571932,At-Risk,2019-10-07,USA,Houston,25-34,M,English
537918940,Regular,2019-10-12,Germany,Hamburg,35-44,M,Germany
555158050,At-Risk,2019-09-11,Germany,Munich,25-34,F,Germany
530282093,New,2018-10-18,UK,London,35-44,F,UK
555444559,Occasional,2019-08-16,Italy,Turin,35-44,F,Italy
555446365,New,2019-10-23,Canada,Toronto,25-34,F,Canada
513642368,Regular,2019-06-18,Germany,Hamburg,35-44,M,Germany
537192226,Occasional,2019-04-24,Australia,Adelaide,35-44,F,Australia
519528062,Occasional,2019-08-29,Brazil,Rio de Janeiro,35-44,F,Brazil
555446831,Occasional,2019-10-27,Canada,Montreal,35-44,M,Canada
555428858,Regular,2019-05-26,Spain,Madrid,25-34,M,Spain
519530528,Occasional,2019-08-18,UK,Birmingham,25-34,M,UK
538645907,New,2019-10-31,Germany,Cologne,35-44,M,Germany
539512263,Occasional,2019-10-15,UK,Manchester,25-34,M,UK
555217733,New,2019-03-08,USA,Chicago,35-44,F,English
525734504,Regular,2019-08-06,Canada,Calgary,25-34,M,Canada
539194858,New,2019-10-10,Germany,Hamburg,25-34,Other,Germany
555447224,New,2019-08-06,France,Toulouse,35-44,F,France
548449430,Regular,2019-10-03,Germany,Munich,25-34,M,Germany
555447570,Occasional,2019-05-10,UK,Manchester,55+,M,UK
515342595,New,2019-03-01,Italy,Milan,55+,M,Italy
545323115,At-Risk,2019-08-14,Spain,Seville,35-44,M,Spain
521242564,High-Value,2019-10-05,UK,Liverpool,35-44,M,UK
513798668,New,2019-07-30,Germany,Munich,35-44,F,Germany
555447748,Occasional,2019-10-19,Germany,Cologne,35-44,F,Germany
515535834,High-Value,2019-09-01,Canada,Toronto,18-24,F,Canada
544648245,New,2019-04-11,Germany,Berlin,25-34,F,Germany
526631741,Occasional,2019-09-06,France,Marseille,25-34,Other,France
515454339,Regular,2019-08-11,Italy,Naples,45-54,M,Italy
